AI,AV,RESISTANCE,density,AI,AV,,,,,,,,,,,,
-331.4641E-6,-850.0000E-3,2.5644E+3,-16.5732E-3,-225.1684E-6,-850.0000E-3,-11.2584E-3,,,,,,,,,,,
-274.6263E-6,-800.0000E-3,2.9130E+3,-13.7313E-3,-186.4745E-6,-800.0000E-3,-9.3237E-3,,,,,,,,,,,
-226.7779E-6,-750.0000E-3,3.3072E+3,-11.3389E-3,-156.0025E-6,-750.0000E-3,-7.8001E-3,,,,,,,,,,,
-187.6830E-6,-700.0000E-3,3.7297E+3,-9.3842E-3,-131.3146E-6,-700.0000E-3,-6.5657E-3,,,,,,,,,,,
-157.8196E-6,-650.0000E-3,4.1186E+3,-7.8910E-3,-111.3307E-6,-650.0000E-3,-5.5665E-3,,,,,,,,,,,
-134.4639E-6,-600.0000E-3,4.4622E+3,-6.7232E-3,-93.9214E-6,-600.0000E-3,-4.6961E-3,,,,,,,,,,,
-115.7297E-6,-550.0000E-3,4.7525E+3,-5.7865E-3,-80.8995E-6,-550.0000E-3,-4.0450E-3,,,,,,,,,,,
-100.5228E-6,-500.0000E-3,4.9740E+3,-5.0261E-3,-68.5975E-6,-500.0000E-3,-3.4299E-3,,,,,,,,,,,
-87.1858E-6,-450.0000E-3,5.1614E+3,-4.3593E-3,-58.8504E-6,-450.0000E-3,-2.9425E-3,,,,,,,,,,,
-75.3289E-6,-400.0000E-3,5.3100E+3,-3.7664E-3,-47.8672E-6,-400.0000E-3,-2.3934E-3,,,,,,,,,,,
-65.8320E-6,-350.0000E-3,5.3166E+3,-3.2916E-3,-39.1621E-6,-350.0000E-3,-1.9581E-3,,,,,,,,,,,
-56.6863E-6,-300.0000E-3,5.2923E+3,-2.8343E-3,-31.8119E-6,-300.0000E-3,-1.5906E-3,,,,,,,,,,,
-49.0237E-6,-250.0000E-3,5.0996E+3,-2.4512E-3,-25.0824E-6,-250.0000E-3,-1.2541E-3,,,,,,,,,,,
-41.9820E-6,-200.0000E-3,4.7639E+3,-2.0991E-3,-19.0861E-6,-200.0000E-3,-954.3035E-6,,,,,,,,,,,
-40.0776E-6,-150.0000E-3,3.7427E+3,-2.0039E-3,-13.4909E-6,-150.0000E-3,-674.5456E-6,,,,,,,,,,,
-33.5098E-6,-100.0000E-3,2.9842E+3,-1.6755E-3,-8.4308E-6,-100.0000E-3,-421.5410E-6,,,,,,,,,,,
-27.6250E-6,-50.0000E-3,1.8100E+3,-1.3813E-3,-4.0629E-6,-50.0000E-3,-203.1447E-6,,,,,,,,,,,
-22.0901E-6,000.0000E+0,000.0000E+0,-1.1045E-3,-3.1848E-9,000.0000E+0,-159.2407E-9,,,,,,,,,,,
-16.6161E-6,50.0000E-3,-3.0091E+3,-830.8061E-6,3.6074E-6,50.0000E-3,180.3722E-6,,,,,,,,,,,
-10.8775E-6,100.0000E-3,-9.1933E+3,-543.8726E-6,7.6260E-6,100.0000E-3,381.3014E-6,,,,,,,,,,,
-5.4197E-6,150.0000E-3,-27.6768E+3,-270.9854E-6,11.6011E-6,150.0000E-3,580.0572E-6,,,,,,,,,,,
-10.1532E-6,200.0000E-3,-19.6982E+3,-507.6600E-6,15.5667E-6,200.0000E-3,778.3338E-6,,,,,,,,,,,
-4.9494E-6,250.0000E-3,-50.5117E+3,-247.4675E-6,20.0629E-6,250.0000E-3,1.0031E-3,,,,,,,,,,,
4.1512E-6,300.0000E-3,72.2686E+3,207.5589E-6,24.7366E-6,300.0000E-3,1.2368E-3,,,,,,,,,,,
8.3146E-6,350.0000E-3,42.0948E+3,415.7283E-6,29.9506E-6,350.0000E-3,1.4975E-3,,,,,,,,,,,
18.2395E-6,400.0000E-3,21.9304E+3,911.9759E-6,34.9038E-6,400.0000E-3,1.7452E-3,,,,,,,,,,,
27.1545E-6,450.0000E-3,16.5719E+3,1.3577E-3,40.8003E-6,450.0000E-3,2.0400E-3,,,,,,,,,,,
36.0364E-6,500.0000E-3,13.8749E+3,1.8018E-3,47.4407E-6,500.0000E-3,2.3720E-3,,,,,,,,,,,
46.2916E-6,550.0000E-3,11.8812E+3,2.3146E-3,56.4594E-6,550.0000E-3,2.8230E-3,,,,,,,,,,,
50.0112E-6,600.0000E-3,11.9973E+3,2.5006E-3,64.2508E-6,600.0000E-3,3.2125E-3,,,,,,,,,,,
63.0993E-6,650.0000E-3,10.3012E+3,3.1550E-3,71.8840E-6,650.0000E-3,3.5942E-3,,,,,,,,,,,
75.1736E-6,700.0000E-3,9.3118E+3,3.7587E-3,80.4268E-6,700.0000E-3,4.0213E-3,,,,,,,,,,,
86.8720E-6,750.0000E-3,8.6334E+3,4.3436E-3,91.9955E-6,750.0000E-3,4.5998E-3,,,,,,,,,,,
100.3459E-6,800.0000E-3,7.9724E+3,5.0173E-3,102.4838E-6,800.0000E-3,5.1242E-3,,,,,,,,,,,
115.6070E-6,850.0000E-3,7.3525E+3,5.7804E-3,114.2678E-6,850.0000E-3,5.7134E-3,,,,,,,,,,,
132.2593E-6,900.0000E-3,6.8048E+3,6.6130E-3,128.0671E-6,900.0000E-3,6.4034E-3,,,,,,,,,,,
150.0635E-6,950.0000E-3,6.3307E+3,7.5032E-3,141.0637E-6,950.0000E-3,7.0532E-3,,,,,,,,,,,
169.0806E-6,1.0000E+0,5.9143E+3,8.4540E-3,154.3608E-6,1.0000E+0,7.7180E-3,,,,,,,,,,,
