AI,AV,RESISTANCE,,AI,AV,,,,
-171.4214E-6,-550.0000E-3,3.2085E+3,-8.5711E-3,-158.6408E-6,-550.0000E-3,-7.9320E-3,,,
-141.6125E-6,-500.0000E-3,3.5308E+3,-7.0806E-3,-127.9329E-6,-500.0000E-3,-6.3966E-3,,,
-118.6225E-6,-450.0000E-3,3.7935E+3,-5.9311E-3,-104.1126E-6,-450.0000E-3,-5.2056E-3,,,
-100.1420E-6,-400.0000E-3,3.9943E+3,-5.0071E-3,-84.0497E-6,-400.0000E-3,-4.2025E-3,,,
-83.8372E-6,-350.0000E-3,4.1748E+3,-4.1919E-3,-68.2690E-6,-350.0000E-3,-3.4135E-3,,,
-69.2504E-6,-300.0000E-3,4.3321E+3,-3.4625E-3,-54.1965E-6,-300.0000E-3,-2.7098E-3,,,
-57.3642E-6,-250.0000E-3,4.3581E+3,-2.8682E-3,-40.8375E-6,-250.0000E-3,-2.0419E-3,,,
-47.0580E-6,-200.0000E-3,4.2501E+3,-2.3529E-3,-27.1944E-6,-200.0000E-3,-1.3597E-3,,,
-43.9752E-6,-150.0000E-3,3.4110E+3,-2.1988E-3,-19.0080E-6,-150.0000E-3,-950.4021E-6,,,
-35.3033E-6,-100.0000E-3,2.8326E+3,-1.7652E-3,-11.4023E-6,-100.0000E-3,-570.1143E-6,,,
-27.9625E-6,-50.0000E-3,1.7881E+3,-1.3981E-3,-5.1483E-6,-50.0000E-3,-257.4159E-6,,,
-21.4154E-6,000.0000E+0,000.0000E+0,-1.0708E-3,1.7366E-9,000.0000E+0,86.8299E-9,,,
-15.4607E-6,50.0000E-3,-3.2340E+3,-773.0341E-6,4.2569E-6,50.0000E-3,212.8448E-6,,,
-9.2272E-6,100.0000E-3,-10.8375E+3,-461.3605E-6,8.6948E-6,100.0000E-3,434.7384E-6,,,
-16.1322E-6,150.0000E-3,-9.2982E+3,-806.6102E-6,12.5440E-6,150.0000E-3,627.1999E-6,,,
